id,pierwsze_imie,drugie_imie,nazwisko,id_komitetu
630,Rafał,Marcin,MARCIAK,1
631,Anna,,ZAJĄCZKOWSKA,1
632,Grażyna,Teresa,CZUBALA,1
633,Wojciech,,LAMENTOWICZ,1
634,Andrzej,,SZCZOTKOWSKI,1
635,Magdalena,Karolina,DRYWA,1
636,Paweł,Władysław,WEKWERT,1
637,Magdalena,Jadwiga,STRZELECKA,1
638,Jacek,Ignacy,SŁUPECKI,1
639,Dominika,Wirginia,NOWAK,1
640,Marcin,Tomasz,STRZELCZYK,1
641,Przemysław,Adam,KOPERSKI,1
642,Agnieszka,Zofia,LAMEK-KOCHANOWSKA,1
643,Leszek,Zbigniew,CZYLOK,1
644,Henryk,,SATŁAWA,1
645,Leszek,,TYRNA,1
646,Anna,Maria,CZAICKA,1
647,Magdalena,,MADZIA,1
648,Aleksandra,Ewa,BANOT,1
649,Barbara,Jolanta,SŁONKA-GIBAS,1
650,Władysław,,PINDEL,1
651,Katarzyna,Olga,GASPARSKA,1
652,Alicja,,ZALEWSKA,1
653,Aleksandra,Maria,HASIOR,1
654,Paulina,Magdalena,GRZYBEK,1
655,Michał,Jacek,BRUDNY,1
656,Paweł,Piotr,MIECH,1
657,Artur,Jerzy,SIĄKAŁA,1
658,Zbigniew,Henryk,NOSKOWSKI,1
659,Zdzisław,,WOLSKI,1
660,Zbigniew,Paweł,NIESMACZNY,1
661,Rafał,Tadeusz,KĘPSKI,1
662,Ewelina,Tacjana,KOTKOWSKA,1
663,Małgorzata,,IŻYŃSKA,1
664,Łukasz,Tadeusz,KOT,1
665,Ewa,Katarzyna,KSIĄŻEK,1
666,Rafał,Krzysztof,JURECZKO,1
667,Ewa,,LEWANDOWSKA,1
668,Paweł,Piotr,ŁAPETA,1
669,Joanna,Janina,GÓRNA,1
670,Emilia,Maria,SKRZYPCZYŃSKA,1
671,Marlena,Sonia,KAREWICZ,1
672,Marcin,Antoni,GOŁDA,1
673,Wanda,Hanna,NOWICKA,1
674,Rafał,Leszek,WITASIK,1
675,Barbara,Joanna,SŁANIA,1
676,Wacław,Jan,KROCZEK,1
677,Andrzej,,FILIPEK,1
678,Aleksander,Stanisław,GWIAZDA,1
679,Konrad,,MROZOWSKI,1
680,Paweł,Józef,MRACHACZ,1
681,Dorota,,MICHALSKA,1
682,Joanna,Jolanta,PAUL,1
683,Teresa,Ewa,SKRZYPULEC-SITEK,1
684,Marek,Andrzej,LIPCZYK,1
685,Ksymena,Honorata,MATYSEK,1
686,Barbara,Ewa,PRZYBYLSKA-CZAJKOWSKA,1
687,Leszek,Aleksander,KRASZYNA,1
688,Jan,Jerzy,MIODEK,1
689,Kasper,,PIECHATZEK,1
690,Jan,Kazimierz,CZUBAK,1
691,Maciej,Kamil,KOPIEC,1
692,Mirosław,Krzysztof,NOWAK,1
693,Zdzisław,,SMOLIŃSKI,1
694,Hanna,Joanna,KUSTRA,1
695,Piotr,Aleksander,URBAŃCZYK,1
696,Ilona,Beata,WITALA-SŁUGA,1
697,Andrzej,,POŻAROWSZCZYK,1
698,Izabela,Małgorzata,NOSIADEK,1
699,Patrycja,Anna,SIEŃKO,1
700,Tomasz,Marek,LEONARSKI,1
701,Roman,Wojciech,GRANICZKA,1
702,Agnieszka,Dominika,GONSIOR,1
703,Agnieszka,Lidia,KORBEL,1
704,Piotr,,KWAŚNY,1
705,Zofia,,SOBIK,1
706,Agnieszka,Barbara,RYCZKOWSKA,1
707,Iwona,Maria,KALINOWSKA,1
708,Jarosław,Piotr,LIGAS,1
709,Maciej,,KONIECZNY,1
710,Andrzej,Jan,LEKSTON,1
711,Katarzyna,Beata,MAJCHRZAK,1
712,Gabriela,Barbara,TOMALA-BOGACKA,1
713,Edward,Józef,DULIŃSKI,1
714,Jakub,Leszek,NOWAK,1
715,Małgorzata,Krystyna,GRONIEWSKA,1
716,Emilia,Maja,MAKÓWKA,1
717,Adrian,Łukasz,SZYMURA,1
718,Piotr,Krystian,ZEMELKA,1
719,Katarzyna,Jolanta,ZELWOR,1
720,Anna,,ŁADOWSKA,1
721,Krzysztof,Jacek,MAKIEŁA,1
722,Jarosław,Marek,BOGOCZ,1
723,Bogdan,Sylwester,BUBAŁA,1
724,Marek,Stanisław,WIŚNIEWSKI,1
725,Bartłomiej,,BRZOZOWIEC,1
726,Włodzimierz,Tomasz,KRZEMIŃSKI,1
727,Sara,Aleksandra,WÓJCIK,1
728,Natalia,Regina,NOWAK-TROJNAR,1
729,Ahsan,,BARAKEH,1
730,Michał,Grzegorz,BUCHTA,1
731,Ewa,,MACHURA,1
732,Włodzimierz,,CZARZASTY,1
733,Rafał,Jan,ADAMCZYK,1
734,Anita,Kornelia,ZIEGLER-CHAMIELEC,1
735,Wojciech,Marcin,NITWINKO,1
736,Łukasz,Karol,LITEWKA,1
737,Magdalena,Monika,KOT,1
738,Wacław,Michał,CHUDZIKIEWICZ,1
739,Marta,,DZIUBKA,1
740,Adrian,Paweł,KUŹNICKI,1
741,Ewa,Katarzyna,PÓŁTORAK,1
742,Małgorzata,,ŁUBEK,1
743,Marcin,Rafał,GŁADKOWSKI,1
744,Anna,Ewa,FILIK,1
745,Aleksandra,Maria,GRANAT,1
746,Damian,Leszek,ŁUKASIK,1
747,Urszula,,CZAJER,1
748,Łukasz,Rafał,CIASTOŃ,1
749,Andrzej,Jan,SZEJNA,1
750,Paulina,Krystyna,PIECHNA-WIĘCKIEWICZ,1
751,Aron,Adrian,PIETRUSZKA,1
752,Iwona,,WIELGUS,1
753,Jan,,GAJDA,1
754,Marcin,,CHŁODNICKI,1
755,Alicja,Małgorzata,LISIAK,1
756,Arkadiusz,,CHYLA,1
757,Bogusława,,DŁUGOSZ,1
758,Józef,,GRABOWSKI,1
759,Krzysztof,Wojciech,ARENDARSKI,1
760,Adrian,Aleksander,BIELUŃ,1
761,Anna,Dorota,LISOWSKA,1
762,Stanisław,Adam,KARPIŃSKI,1
763,Jacek,Jakub,KRUPA,1
764,Dariusz,,ŁOSIN,1
765,Halina,,KOSECKA,1
766,Anna,Ewa,TARAPACZ,1
767,Mirosława,Zofia,MARENIN,1
768,Irena,Krystyna,KOWALCZYK-KWIECIEŃ,1
769,Iga,,KOMAR,1
770,Piotr,,KASPERKIEWICZ,1
771,Beata,Monika,BOROWIECKA,1
772,Marek,Jerzy,WALO,1
773,Agata,Dominika,PAWŁOWSKA,1
774,Anna,Marta,MENTEL-WALKIEWICZ,1
775,Ewa,Zofia,KOPER,1
776,Marlena,,ZIMNICKA,1
777,Dobrosława,Hanna,SOJKA-GŁUSZAK,1
778,Robert,,JUREK,1
779,Jan,Tadeusz,KLAMCZYŃSKI,1
780,Monika,Walentyna,FALEJ,1
781,Andrzej,Jan,ZIELONKA,1
782,Emilia,,BARTKOWSKA,1
783,Ryszard,,KLIM,1
784,Daniel,Adrian,ZDANOWSKI,1
785,Sylwia,,PIEKART,1
786,Janusz,,PASJAK,1
787,Jakub,Przemysław,GIEREJ,1
788,Robert,,KOLIŃSKI,1
789,Milena,,FALKOWSKA-HOJAN,1
790,Piotr,,PACYNO,1
791,Urszula,Klara,PĄGOWSKA,1
792,Wincenty,Marian,PRZYBOROWSKI,1
793,Mirosław,Józef,SZULC,1
794,Paweł,,WÓJCIK,1
795,Marcin,Robert,KULASEK,1
796,Małgorzata,Emilia,MATUSZEWSKA-BORUC,1
797,Hubert,,GÓRSKI,1
798,Łukasz,,MICHNIK,1
799,Lucyna,,KOBYLIŃSKA,1
800,Sława,Iwona,TARASIEWICZ,1
801,Malwina,Maria,PYSZNA,1
802,Krzysztof,,RUMIŃSKI,1
803,Monika,,CHMIELEWSKA-SUJATA,1
804,Jarosław,,PIENIAK,1
805,Bartłomiej,,RUTKOWSKI,1
806,Krzysztof,,MALISZEWSKI,1
807,Marcin,,GULCZYŃSKI,1
808,Ewa,,LITMAN,1
809,Daniel,Stanisław,JAKUBAS,1
810,Małgorzata,,OLKOWSKA,1
811,Janina,,NADOLNA,1
812,Anna,Elżbieta,PIOTROWSKA,1
813,Beata,,DALKOWSKA,1
814,Bartosz,,GRUCELA,1
815,Wiesław,Andrzej,SZCZEPAŃSKI,1
816,Marek,Miłosz,MAZUR,1
817,Karolina,Monika,PAWLICZAK,1
818,Beata,,BŁAŻEJCZAK-KLECZEWSKA,1
819,Józef,Włodzimierz,WAJS,1
820,Zbigniew,Edward,SŁODOWY,1
821,Krzysztof,,KŁOSOWSKI,1
822,Krzysztof,,SYNORACKI,1
823,Zbigniew,Stanisław,ZALESIŃSKI,1
824,Ewa,,KĘDZIA,1
825,Bożena,Maria,HUMELT,1
826,Sławomir,,TRĄBKA,1
827,Arkadiusz,,STACHOWIAK,1
828,Alina,Bernadeta,SZYMAŃSKA,1
829,Elżbieta,,CIEŚLAK,1
830,Violetta,Małgorzata,WITCZAK,1
831,Grzegorz,,STĘPNIAK,1
832,Monika,,GURDEK,1
833,Angelika,Justyna,MACHOWSKA,1
834,Karol,,HIBNER,1
835,Bernardyna,,KAŹMIERCZAK,1
836,Grażyna,Antonina,JASZCZYK,1
837,Konrad,,NOWACKI,1
838,Paulina,,NOWAK,1
839,Tadeusz,,TOMASZEWSKI,1
840,Andrzej,Jacek,WNUK,1
841,Ryszard,Piotr,NAWROCKI,1
842,Robert,,GALĘBA,1
843,Joanna,Maria,MACIEJEWSKA,1
844,Paweł,,KLECZEWSKI,1
845,Krystyna,,KUBICKA-SZTUL,1
846,Jadwiga,Elżbieta,JARONIEWSKA,1
847,Marek,,SIKORSKI,1
848,Kacper,,PAROL,1
849,Leszek,Grzegorz,STAWICKI,1
850,Sylwia,,PRZYBYŁA,1
851,Martyna,,BUNALSKA,1
852,Paweł,,BARTKOWIAK,1
853,Tomasz,,CZAPCZYK,1
854,Anna,,BĄK,1
855,Dariusz,,WILCZEWSKI,1
856,Dariusz,Marian,STANDERSKI,1
857,Romuald,Kazimierz,AJCHLER,1
858,Kamil,Bartosz,BOCIAN,1
859,Agnieszka,Magdalena,GRZECHOWIAK,1
860,Katarzyna,,JÓZEFOWSKA,1
861,Anna,Elżbieta,WILK-BARAN,1
862,Jacek,Tadeusz,FLIEGER,1
863,Karolina,,SMYKOWSKA,1
864,Stanisław,Tomasz,ŚLIWAK,1
865,Paulina,,BIRULA,1
866,Andrzej,,MELIŃSKI,1
867,Natalia,Ewa,MINGE,1
868,Maksym,,KAPLANSKYY,1
869,Patrycja,Monika,BUŚKO,1
870,Marta,Grażyna,BILON,1
871,Jakub,Paweł,MIĘSIKOWSKI,1
872,Hanna,,MAŃKOWSKA,1
873,Adam,Roman,CUKIER,1
874,Katarzyna,,UEBERHAN,1
875,Anna,Małgorzata,WACHOWSKA-KUCHARSKA,1
876,Katarzyna,Maria,KRETKOWSKA,1
877,Henryk,,KANIA,1
878,Beata,Kinga,URBAŃSKA,1
879,Maciej,Karol,SZLINDER,1
880,Magdalena,Adrianna,WOJCIECHOWSKA,1
881,Dawid,,MAJEWSKI,1
882,Marek,Ireneusz,MONDRY,1
883,Halina,Maria,OWSIANNA,1
884,Renata,Teresa,BORUSIŃSKA,1
885,Zuzanna,Sara,LEWANDOWSKA,1
886,Łukasz,Mateusz,DYLEWICZ,1
887,Adrianna,,PALUS,1
888,Maciej,Jarosław,WRÓBLEWSKI,1
889,Grzegorz,Andrzej,KRYSTEK,1
890,Dariusz,Radosław,JÓŹWIK,1
891,Marcin,,STANIEWSKI,1
892,Jakub,Marcin,SKURZYŃSKI,1
893,Agnieszka,Maria,ZIÓŁKOWSKA,1
894,Małgorzata,Barbara,PROKOP-PACZKOWSKA,1
895,Jerzy,Waldemar,KOTLĘGA,1
896,Jacek,Artur,WEZGRAJ,1
897,Andrzej,,LEWANDOWSKI,1
898,Agnieszka,,SZUBA,1
899,Lech,Antoni,FABIAŃCZYK,1
900,Agnieszka,Katarzyna,MASTALERZ,1
901,Józef,Romuald,SZKANDERA,1
902,Ewa,Bożena,KOKOT,1
903,Katarzyna,Petronela,PAPROCKA,1
904,Magdalena,Teresa,KUSIAKIEWICZ,1
905,Hanna,,KUJATH,1
906,Marcin,Dominik,ADAMCZYK,1
907,Łukasz,Patryk,OLSZEWSKI,1
908,Maciej,Walenty,BOCK,1
909,Małgorzata,Genowefa,CHYŁA,1
910,Dariusz,Krzysztof,WIECZOREK,1
911,Arkadiusz,Paweł,CZARNECKI,1
912,Sebastian,Waldemar,BEDNARSKI,1
913,Katarzyna,Agata,KOTULA,1
914,Dawid,Wojciech,KRYSTEK,1
915,Czesława,,CHRISTOWA,1
916,Wojciech,,DŁUGOBORSKI,1
917,Katarzyna,,KOSNO,1
918,Cezary,Piotr,PAKULSKI,1
919,Jagoda,Maria,GMACHOWSKA,1
920,Amadou,,SY,1
921,Danuta,,LESZCZYŃSKA,1
922,Wiktoria,Maria,ARBAROS,1
923,Małgorzata,,PIOTROWSKA,1
924,Teresa,Elżbieta,SZYMAŃSKA,1
925,Jerzy,Daniel,MAĆKOWIAK,1
926,Zofia,Anna,MALISZ,1
927,Dorota,,MAŚLANA,1
928,Maria,Magdalena,SERAFINOWICZ,1
929,Tymoteusz,Jakub,KOCHAN,1
930,Sasza,Radosław,KORDZIELEWSKI,1
931,Natalia,Agata,KOSTUŚ,1
932,Piotr,,SOBOLEWSKI,1
933,Joanna,Monika,AGATOWSKA,1
934,Piotr,,BORYS,2
935,Zofia,,CZERNOW,2
936,Robert,,KROPIWNICKI,2
937,Iwona,Małgorzata,KRAWCZYK,2
938,Ewa,,DROZD,2
939,Jarosław,Ryszard,DUDKOWIAK,2
940,Dorota,,BARANOWSKA,2
941,Michał,,BANDER,2
942,Konrad,Jerzy,SIKORA,2
943,Konrad,Antoni,ROWIŃSKI,2
944,Anna,Eugenia,PICHAŁA,2
945,Ksenia,Anna,DOWHAŃ-DOMAŃSKA,2
946,Beata,Edyta,ROLSKA,2
947,Zbigniew,,GRZEŚKÓW,2
948,Krystyna,Henryka,BARCIK,2
949,Urszula,,MAGRYŚ,2
950,Jakub,Krzysztof,JAGIEŁŁO,2
951,Barbara,Anna,SKÓRZEWSKA,2
952,Joanna,Dorota,STRĄCZEK,2
953,Małgorzata,Joanna,SURWIŁO,2
954,Anna,,BROK,2
955,Grzegorz,,ZIELIŃSKI,2
956,Mirosław,,GRAF,2
957,Włodzimierz,,BARTKOWIAK,2
958,Tomasz,,SIEMONIAK,2
959,Izabela,Katarzyna,MRZYGŁOCKA,2
960,Monika,,WIELICHOWSKA,2
961,Tomasz,Daniel,SZUSZWALAK,2
962,Tomasz,Łukasz,MITRASZEWSKI,2
963,Teresa,,ŚWIŁO,2
964,Rafał,Mariusz,GLAPIŃSKI,2
965,Andrzej,Ryszard,INGLOT,2
966,Mateusz,,ROSIAK,2
967,Paweł,,ONYŚKÓW,2
968,Zbigniew,,SZCZYGIEŁ,2
969,Jędrzej,Maciej,ŚWIERCZYŃSKI,2
970,Małgorzata,Urszula,BEŚLERZEWSKA,2
971,Jacek,Julian,IWANCZ,2
972,Joanna,,BEN AMARA,2
973,Marta,Magdalena,TUMIDALSKA,2
974,Grzegorz,Juliusz,SCHETYNA,2
975,Małgorzata,Elżbieta,TRACZ,2
976,Michał,,JAROS,2
977,Sławomir,Jan,PIECHOTA,2
978,Aldona,Janina,MŁYŃCZAK,2
979,Joanna,Wiktoria,AUGUSTYNOWSKA,2
980,Krzysztof,,MIESZKOWSKI,2
981,Anna,Maria,HORODYSKA,2
982,Krystyna,,WÓJCIK,2
983,Michał,Jakub,GÓRSKI,2
984,Zdzisław,Michał,ŻMIEJEWSKI,2
985,Wojciech,,ADAMCZAK,2
986,Anna,Maria,LESZCZYŃSKA,2
987,Jarosław,,POLAŃSKI,2
988,Sebastian,Robert,BURDZY,2
989,Kacper,Jan,MĘDYGRAŁ,2
990,Marek,Rafał,SIERPIŃSKI,2
991,Marek,Krzysztof,ZALEWSKI,2
992,Waldemar,Zbigniew,STASZEWSKI,2
993,Radosław,Tomasz,MOŁOŃ,2
994,Anna,Helena,SOBOLAK,2
995,Jacek,Edward,MAKÓWKA,2
996,Katarzyna,Anna,PIWKO,2
997,Katarzyna,,STANIÓW,2
998,Ryszard,Julian,ZELINKA,2
999,Łukasz,,KROPSKI,2
1000,Daria,,GILAR,2
1001,Marek,,ŁAPIŃSKI,2
1002,Tadeusz,Antoni,ZWIEFKA,2
1003,Paweł,Bartosz,OLSZEWSKI,2
1004,Iwona,Maria,KOZŁOWSKA,2
1005,Ireneusz,Michał,NITKIEWICZ,2
1006,Magdalena,,ŁOŚKO,2
1007,Michał,Józef,STASIŃSKI,2
1008,Tadeusz,Grzegorz,POGODA,2
1009,Marian,Marek,MIKOŁAJCZAK,2
1010,Olga,,BRZEZIŃSKA,2
1011,Mirosław,,KRÓLEWICZ,2
1012,Juliusz,Jakub,MŁODECKI,2
1013,Robert,Rafał,BARANOWSKI,2
1014,Stanisław,,GLISZCZYŃSKI,2
1015,Bashar,,AL-SHAER,2
1016,Nicole,Weronika,PIETRYGA,2
1017,Jarosław,Paweł,KATULSKI,2
1018,Monika,Julia,BIELIŃSKA,2
1019,Paulina,Barbara,POPA,2
1020,Danuta,Maria,WOŹNIAK,2
1021,Dariusz,Józef,WĄDOŁOWSKI,2
1022,Radosława,Maria,STASZAK-KOWALSKA,2
1023,Martyna,Magdalena,GALIŃSKA,2
1024,Piotr,Henryk,MALICH,2
1025,Wojciech,,SZCZĘSNY,2
1026,Tomasz,,LENZ,2
1027,Arkadiusz,,MYRCHA,2
1028,Iwona,,HARTWICH,2
1029,Tomasz,Józef,SZYMAŃSKI,2
1030,Krystian,Marek,ŁUCZAK,2
1031,Przemysław,Kazimierz,TERMIŃSKI,2
1032,Dariusz,Adam,ALABRUDZIŃSKI,2
1033,Katarzyna,Anna,LUBAŃSKA,2
1034,Wojciech,Tomasz,CZERWIŃSKI,2
1035,Sylwester,Tomasz,JANKOWSKI,2
1036,Jerzy,,KOWALSKI,2
1037,Lidia,Urszula,ZWIERZCHOWSKA,2
1038,Alicja,Józefa,STAŃCO-WAWRZYŃSKA,2
1039,Emilia,,JASKÓLSKA,2
1040,Barbara,Agata,ZALEWSKA,2
1041,Grażyna,Joanna,ZIÓŁKOWSKA,2
1042,Mirosław,Roman,GRACZYK,2
1043,Sławomir,Henryk,BOGUCKI,2
1044,Aneta,Agnieszka,WOJTKOWSKA,2
1045,Halina,,KOWALKOWSKA,2
1046,Danuta,Maria,RAK,2
1047,Paweł,,MONTOWSKI,2
1048,Wacław,Jan,SZRAMOWSKI,2
1049,Dominika,Marta,PIOTROWSKA,2
1050,Marcin,Seweryn,SKONIECZKA,2
1051,Joanna,,MUCHA,2
1052,Michał,Mateusz,KRAWCZYK,2
1053,Marta,Anna,WCISŁO,2
1054,Paweł,Krzysztof,NAKONIECZNY,2
1055,Bożena,Grażyna,LISOWSKA,2
1056,Krzysztof,,BABISZ,2
1057,Krzysztof,,KOMORSKI,2
1058,Krzysztof,,BOJARSKI,2
1059,Lucjan,,ORGASIŃSKI,2
1060,Bożenna,,WASILEWSKA,2
1061,Waldemar,Franciszek,BIAŁOWĄS,2
1062,Józef,Stanisław,JUCHNIKOWSKI,2
1063,Sylwia,Stanisława,GUZ,2
1064,Paweł,Tomasz,KUREK,2
1065,Magdalena,Anna,SZABAŁA,2
1066,Maciej,Stefan,TRYBOŃ,2
1067,Małgorzata,Teresa,DUNECKA,2
1068,Adam,Andrzej,KALBARCZYK,2
1069,Tomasz,Lech,BUCZEK,2
1070,Joanna,Sława,HOŁDA,2
1071,Katarzyna,,FATYGA,2
1072,Krzysztof,Andrzej,GŁADYSZ,2
1073,Magdalena,Mariola,WOJCIECHOWSKA-JĘDRZEJCZYK,2
1074,Michał,Marcin,MIŁOSZ,2
1075,Mariusz,Grzegorz,AUSZ,2
1076,Anna,Barbara,PADO,2
1077,Piotr,,SZCZUCKI,2
1078,Marek,,RAK,2
1079,Katarzyna,Dorota,WIĘCEK,2
1080,Zbigniew,Wiktor,JURKOWSKI,2
1081,Riad,,HAIDAR,2
1082,Stanisław,,ŻMIJAN,2
1083,Kornelia,Konstancja,WRÓBLEWSKA,2
1084,Krzysztof,,GRABCZUK,2
1085,Małgorzata,,GROMADZKA,2
1086,Rafał,Mariusz,ZWOLAK,2
1087,Mariusz,,GRAD,2
1088,Tomasz,Wojciech,ANTONIUK,2
1089,Tomasz,Józef,PAŃCZYK,2
1090,Kamil,,JÓŹWIK,2
1091,Magdalena,,ZAJĄC,2
1092,Grażyna,Bogumiła,LAMCZYK,2
1093,Mariusz,Stanisław,KOWALEWSKI,2
1094,Bożena,Stanisława,KIELISZEK-WASIOŁEK,2
1095,Katarzyna,Ewa,PIETRASZKIEWICZ,2
1096,Barbara,Stefania,ŻBIKOWSKA,2
1097,Karolina,Anna,HUKIEWICZ,2
1098,Kamila,,ĆWIKLIŃSKA,2
1099,Katarzyna,Weronika,PELC,2
1100,Anna,Maria,KOLASIŃSKA,2
1101,Wioleta,,ZARĘBSKA,2
1102,Antoni,,RUSINEK,2
1103,Jan,Józef,MUSOLF,2
1104,Piotr,Jacek,ZYGARSKI,2
1105,Tomasz,Witold,ANIŚKO,2
1106,Waldemar,Jan,SŁUGOCKI,2
1107,Krystyna,Mieczysława,SIBIŃSKA,2
1108,Katarzyna,,OSOS,2
1109,Jerzy,,WIERCHOWICZ,2
1110,Tomasz,Bogusław,KUCHARSKI,2
1111,Marcin,Artur,JABŁOŃSKI,2
1112,Witold,,PAHL,2
1113,Grzegorz,Michał,POTĘGA,2
1114,Cecylia,,BRODZIŃSKA,2
1115,Olaf,Krzysztof,NAPIÓRKOWSKI,2
1116,Krystyna,Maria,MAGDZIAREK,2
1117,Radosław,Zenon,SUJAK,2
1118,Agata,Małgorzata,WDOWIAK,2
1119,Krzysztof,Stanisław,KOLA,2
1120,Alina,Wanda,JĄGOWSKA,2
1121,Piotr,Stanisław,KOWALSKI,2
1122,Danuta,Teresa,MALINOWSKA,2
1123,Miłosz,Mateusz,BRODZIKOWSKI,2
1124,Marcin,Bogusław,PABIEROWSKI,2
1125,Marek,Mirosław,KRAŚNY,2
1126,Elżbieta,,KOZAK,2
1127,Jolanta,Teresa,KANIEWSKA,2
1128,Bogusław,Michał,ZABOROWSKI,2
1129,Tomasz,Franciszek,ZIMOCH,2
1130,Krzysztof,Mariusz,PIĄTKOWSKI,2
1131,Iwona,Elżbieta,ŚLEDZIŃSKA-KATARASIŃSKA,2
1132,Małgorzata,Barbara,NIEMCZYK,2
1133,Marcin,Łukasz,GOŁASZEWSKI,2
1134,Tomasz,Piotr,KACPRZAK,2
1135,Agata,,KOBYLIŃSKA,2
1136,Magdalena,Anna,GAŁKIEWICZ,2
1137,Krzysztof,Michał,MAKOWSKI,2
1138,Marcin,Krzysztof,HENCZ,2
1139,Justyna,Maria,CHOJNACKA-DURAJ,2
1140,Monika,Joanna,MAMULSKA,2
1141,Antonina,,MAJCHRZAK,2
1142,Katarzyna,Paulina,CABAN-PIASKOWSKA,2
1143,Renata,Anna,NOWAK,2
1144,Radosław,Adam,STĘPIEŃ,2
1145,Mateusz,,KARWOWSKI,2
1146,Niloufar,,RAHNEMA-BAJ,2
1147,Maria,Teresa,KRAWCZYK,2
1148,Ryszard,Wiesław,BONISŁAWSKI,2
1149,Cezary,Stanisław,GRABARCZYK,2
1150,Magdalena,Sylwia,SPÓLNICKA,2
1151,Dorota,,RUTKOWSKA,2
1152,Barbara,Ewa,KLATKA,2
1153,Jacek,Marian,SOKALSKI,2
1154,Arkadiusz,Paweł,ROŻNIATOWSKI,2
1155,Robert,,TELUS,2
1156,Elżbieta,Ewa,KUBA,2
1157,Roman,Stanisław,JANIEC,2
1158,Andrzej,Jerzy,SENEJKO,2
1159,Anna,Renata,LISTWOŃ,2
1160,Roman,Piotr,SIEDLECKI,2
1161,Kuba,,BILSKI,2
1162,Piotr,Sebastian,TOKARSKI,2
1163,Sylwia,,WOLIŃSKA,2
1164,Jan,Wojciech,KOWALCZYK,2
1165,Ewa,Justyna,PONIATOWSKA,2
1166,Marlena,Irena,WĘŻYK-GŁOWACKA,2
1167,Cezary,Józef,TOMCZYK,2
1168,Dariusz,,JOŃSKI,2
1169,Agnieszka,Małgorzata,HANAJCZYK,2
1170,Krzysztof,Gabor,RĄKOWSKI,2
1171,Andrzej,,OWCZAREK,2
1172,Artur,,GIERULA,2
1173,Michał,Marian,PABICH,2
1174,Jacek,Witold,LEWERA,2
1175,Piotr,Jacek,SEWERYN,2
1176,Iwona,Elżbieta,LEWANDOWSKA,2
1177,Katarzyna,Renata,WRÓBEL,2
1178,Edyta,Grażyna,STRUMIAN,2
1179,Zbigniew,,WÓJCIK,2
1180,Michał,Marcin,KOWALCZYK,2
1181,Anna,,LIPIŃSKA,2
1182,Karolina,Daria,MATUSIAK,2
1183,Beata,Maria,ZIELIŃSKA,2
1184,Tomasz,Bernard,KĄCKI,2
1185,Barbara,Maria,JESIONOWSKA,2
1186,Marcin,Miłosz,SIERADZKI,2
1187,Katarzyna,Kinga,WOLNA,2
1188,Nina,Barbara,OKOŃ-WYDER,2
1189,Marek,Grzegorz,JACHIMEK,2
1190,Małgorzata,Iwona,GRABARCZYK,2
1191,Dorota,,NIEDZIELA,2
1192,Marek,Jan,SOWA,2
1193,Adam,Kajetan,POTOCKI,2
1194,Adam,Tomasz,STYCZEŃ,2
1195,Mateusz,Michał,KLINOWSKI,2
1196,Ewa,Beata,WĄTROBA,2
1197,Michał,,CHOWANIEC,2
1198,Adam,Jarosław,LUBAŃSKI,2
1199,Ewa,Magdalena,WINCENCIAK-WALAS,2
1200,Kinga,Agnieszka,SKOWROŃSKA,2
1201,Marcin,,BRÓZDA,2
1202,Katarzyna,Elżbieta,BLIŹNIAK,2
1203,Szymon,Tadeusz,ARKIT,2
1204,Tomasz,Zygmunt,KLAJA,2
1205,Maria,Wiesława,MIRANOWICZ,2
1206,Tadeusz,,ŻABA,2
1207,Paweł,Robert,KOWAL,2
1208,Grzegorz,Cezary,LIPIEC,2
1209,Aleksander,Jan,MISZALSKI,2
1210,Lidia,Stanisława,GĄDEK,2
1211,Dorota,,MAREK,2
1212,Ireneusz,Jacek,RAŚ,2
1213,Józef,,LASSOTA,2
1214,Bogusław,Andrzej,SONIK,2
1215,Marta,Agnieszka,WODYŃSKA,2
1216,Artur,,MAZUR,2
1217,Alicja,Anna,SZCZEPAŃSKA,2
1218,Władysław,Andrzej,DYNA,2
1219,Dariusz,,SZCZOTKOWSKI,2
1220,Edyta,Liliana,NOWAK,2
1221,Zbigniew,Tomasz,ULMANIEC,2
1222,Andrzej,,BUCZKOWSKI,2
1223,Michał,Kazimierz,ZNAMIROWSKI,2
1224,Sebastian,Joachim,PIEKAREK,2
1225,Urszula,Elżbieta,MAJCHER-LEGAWIEC,2
1226,Janusz,Jan,BARTYZEL,2
1227,Piotr,Łukasz,GRABARCZYK,2
1228,Ewelina,Teresa,WĘGRZYN,2
1229,Marzena,Dorota,PILCH-KOCJAN,2
1230,Andrzej,Jan,DOMAŃSKI,2
1231,Emil,Krzysztof,BAJOREK,2
1232,Maria,,IWANICKA,2
1233,Maria,Małgorzata,STRZELECKA,2
1234,Jerzy,Witold,MEYSZTOWICZ,2
1235,Jagna,Kinga,MARCZUŁAJTIS-WALCZAK,2
1236,Andrzej,Stanisław,CZERWIŃSKI,2
1237,Marta,Halina,FOGLER,2
1238,Witold,Zygmunt,KOCHAN,2
1239,Elżbieta,Joanna,RUCHAŁA,2
1240,Piotr,Tomasz,MUSIAŁ,2
1241,Waldemar,Paweł,OLSZYŃSKI,2
1242,Sylwia,Beata,LEHNER,2
1243,Marek,Józef,JANCZAK,2
1244,Jan,Bolesław,KARPIEL,2
1245,Janusz,Ryszard,CYMER,2
1246,Maria,Anna,SPRAWKA-BAZYDŁO,2
